Neighborhood,Population,Latitude,Longitude
Mumbai,12442373,18.940170000000023,72.83483000000007
Delhi,11007835,28.634100000000046,77.21689000000003
Bangalore,8436675,12.966180000000065,77.58690000000007
Hyderabad,6809970,17.394870000000026,78.47076000000004
Ahmedabad,5570585,23.027760000000058,72.60027000000008
Chennai,4681087,13.083620000000053,80.28252000000003
Kolkata,4486679,22.570530000000076,88.37124000000006
Surat,4467797,21.185780000000022,72.83679000000006
Pune,3124458,18.504220000000032,73.85302000000007
Jaipur,3046163,26.925730000000044,75.80659000000003
Lucknow,2817105,26.85471000000007,80.92135000000007
Kanpur,2765348,26.43562000000003,80.32986000000005
Nagpur,2405665,21.157050000000027,79.08217000000008
Indore,1964086,22.716220000000078,75.86512000000005
Thane,1841488,19.200000000000045,72.96667000000008
Bhopal,1798218,23.26466000000005,77.40518000000003
Visakhapatnam[a][5],1728128,17.719840000000033,83.26278000000008
Pimpri-Chinchwad,1727692,18.618670000000066,73.80375000000004
Patna,1684222,25.601290000000063,85.13751000000008
Vadodara,1670806,22.30946000000006,73.17993000000007
Ghaziabad,1648643,28.662490000000048,77.43777000000006
Ludhiana,1618879,30.907250000000033,75.84919000000008
Agra,1585704,27.192170000000033,78.00007000000005
Nashik,1486053,19.995030000000042,73.79647000000006
Faridabad,1414050,28.39247000000006,77.31276000000008
Meerut,1305429,28.998600000000067,77.70442000000008
Rajkot,1286678,22.300000000000068,70.78333000000003
Kalyan-Dombivli,1247327,19.23246000000006,73.13409000000007
Vasai-Virar,1222390,19.20505000000003,72.95530000000008
Varanasi,1201815,25.332890000000077,82.99654000000004
Srinagar,1180570,34.084430000000054,74.79906000000005
Aurangabad,1175116,19.870100000000036,75.34602000000007
Dhanbad,1162472,23.795930000000055,86.43060000000008
Amritsar,1132383,31.633470000000045,74.87507000000005
Navi Mumbai,1120547,19.032620000000065,73.02962000000008
Allahabad,1112544,25.436090000000036,81.84718000000004
Howrah,1077075,22.596310000000074,88.25608000000005
Ranchi,1073427,23.350600000000043,85.31378000000007
Gwalior,1069276,26.220110000000034,78.17620000000005
Jabalpur,1055525,23.174180000000035,79.93136000000004
Coimbatore,1050721,10.994160000000022,76.96629000000007
Vijayawada,1034358,16.502560000000074,80.63977000000006
Jodhpur,1033918,26.266910000000053,73.03052000000008
Madurai,1017865,9.92417000000006,78.12416000000007
Raipur,1010087,21.244020000000035,81.63477000000006
Chandigarh,1028667,30.703410000000076,76.78943000000004
Guwahati,957352,26.17724000000004,91.75419000000005
Solapur,951558,17.658040000000028,75.90685000000008
Hubliâ€“Dharwad,943788,15.350440000000049,75.13742000000008
Mysore[7][8][9],920550,12.955879994181856,77.5458999991165
Tiruchirappalli[10],916674,10.805920000000071,78.69474000000008
Bareilly,898167,28.35432000000003,79.41615000000007
Aligarh,889810,27.886250000000075,78.07385000000005
Tiruppur,877778,11.089410000000044,77.36260000000004
Gurgaon,876824,28.47762000000006,77.06952000000007
Moradabad,872575,28.83893000000006,78.77684000000005
Jalandhar,862196,31.330820000000074,75.59008000000006
Bhubaneswar,837737,20.268790000000024,85.84100000000007
Salem,831038,11.665530000000047,78.15164000000004
Warangal[11][12],830281,17.406700000821942,78.59399999426398
Mira-Bhayandar,814655,19.27413000000007,72.91311000000007
Jalgaon,798514,21.016670000000033,75.56667000000004
Kota[13],743556,26.155430002210394,75.78027003248235
Guntur[14],743354,16.300000000000068,80.45000000000005
Bhiwandi,711329,19.29713000000004,73.06348000000008
Saharanpur,703345,29.965690000000052,77.54605000000004
Gorakhpur,671048,26.754310000000032,83.37557000000004
Bikaner,647804,28.016470000000027,73.31184000000007
Amravati,646801,20.93333000000007,77.75000000000006
Noida,642381,28.533420000000035,77.38190000000003
Jamshedpur,631364,22.78150000000005,86.21215000000007
Bhilai,625697,21.220270000000028,81.38004000000006
Cuttack,606007,20.46649000000008,85.89613000000008
Firozabad,603797,27.15912000000003,78.39579000000003
Kochi,601574,9.936010000000067,76.26142000000004
Nellore[15][16],600869,14.439790000000073,79.99362000000008
Bhavnagar,593768,21.770030000000077,72.14590000000004
Dehradun,578420,30.309520000000077,78.04889000000009
Durgapur,566937,23.532320000000027,87.30735000000004
Asansol,564491,23.68432000000007,86.97938000000005
Rourkela,552734,22.229720000000043,84.86077000000006
Nanded,550564,19.15566000000007,77.31105000000008
Kolhapur,549283,16.70446000000004,74.24137000000007
Ajmer,542580,26.465530000000058,74.63169000000005
Akola,537149,20.706350000000043,77.00290000000007
Gulbarga,532031,17.332740000000058,76.84035000000006
Jamnagar,529308,22.469190000000026,70.07095000000004
Ujjain,515215,23.180870000000027,75.78816000000006
Loni,512296,28.75837000000007,77.28393000000005
Siliguri,509709,26.732440000000054,88.40871000000004
Jhansi,507293,25.44858000000005,78.56955000000005
Ulhasnagar,506937,19.229070000000036,73.16580000000005
Jammu[17],503690,32.70273000000003,74.87870000000004
Sangli-Miraj & Kupwad,502697,16.845870000000048,74.59046000000006
Mangalore,499486,12.897850000000062,74.84541000000007
Erode[18],498129,11.34065000000004,77.71723000000003
Belgaum,488292,15.867020000000025,74.51167000000004
Ambattur,478134,13.098330000000033,80.16222000000005
Tirunelveli,473637,8.72640000000007,77.73349000000007
Malegaon,471006,20.550000000000068,74.53333000000003
Gaya,463454,24.784950000000038,84.99272000000008
Thiruvananthapuram,460468,8.505190000000027,76.95139000000006
Udaipur,451735,24.587000000000046,73.69848000000007
Kakinada,443028,16.93333000000007,82.21667000000008
Davanagere,435128,14.459410000000048,75.91537000000005
Kozhikode,432097,11.25881000000004,75.78084000000007
Maheshtala,429423,22.507040000000075,88.25664000000006
Rajpur Sonarpur,423806,22.41611000000006,88.41568000000007
Rajahmundry[19][20],419818,16.996090000000038,81.80159000000003
Bokaro,413934,23.783330000000035,85.96667000000008
South Dumdum,410524,22.605710000000045,88.39886000000007
Bellary,409644,15.145000000000039,76.92824000000007
Patiala,405164,30.344850000000065,76.40000000000003
Gopalpur,404991,25.363600000000076,88.52299000000005
Agartala,399688,23.82920000000007,91.29058000000003
Bhagalpur,398138,25.24446000000006,86.97183000000007
Muzaffarnagar,392451,29.470290000000034,77.70761000000005
Bhatpara,390467,23.093210000000056,88.61785000000003
Panihati,383522,22.696340000000077,88.39155000000005
Latur,382754,18.400000000000034,76.58333000000005
Dhule,376093,20.902910000000077,74.77235000000007
Tirupati[21],374260,13.631940000000043,79.41815000000008
Rohtak,373133,28.897640000000024,76.57448000000005
Sagar,370296,23.833330000000046,78.71667000000008
Korba,363210,22.350000000000023,82.68333000000007
Bhilwara,360009,25.34644000000003,74.63523000000004
Berhampur,355823,21.49962000000005,86.65360000000004
Muzaffarpur,351838,26.12399000000005,85.38669000000004
Ahmednagar,350905,19.092080000000067,74.73832000000004
Mathura,349336,27.49186000000003,77.67419000000007
Kollam,349033,8.88689000000005,76.59228000000007
Avadi,344701,13.115560000000073,80.10167000000007
Kadapa,343054,14.467340000000036,78.85423000000003
Kamarhati,336579,23.582730000000026,88.40707000000003
Sambalpur,335761,21.450000000000045,83.96667000000008
Bilaspur,330106,22.083330000000046,82.15000000000003
Shahjahanpur,327975,27.88142000000005,79.91090000000008
Satara,326789,17.68333000000007,73.98333000000008
Bijapur,326360,16.828790000000026,75.71435000000008
Kurnool,325300,15.825480000000027,78.03014000000007
Rampur,325248,28.80904000000004,79.02896000000004
Shimoga,322428,13.944770000000062,75.56670000000008
Chandrapur,321036,19.96652000000006,79.29677000000004
Junagadh,320250,21.516670000000033,70.46667000000008
Thrissur,315596,10.510820000000024,76.21121000000005
Alwar,315310,27.556080000000065,76.61236000000008
Bardhaman,314638,23.240720000000067,87.86737000000005
Kulti,313977,23.728140000000053,86.84498000000008
Nizamabad,310467,18.686151879000022,78.20615048800005
Parbhani,307191,19.260790000000043,76.77697000000006
Tumkur,305821,13.340040000000045,77.10151000000008
Khammam,305000,17.250870000000077,80.15742000000006
Ozhukarai,300028,12.05600000000004,79.87400000000008
Bihar Sharif,296889,25.197290000000066,85.52374000000003
Panipat,294150,29.39005000000003,76.96949000000006
Darbhanga,294116,26.16271000000006,85.89750000000004
Bally,291972,22.647860000000037,88.34428000000008
Aizawl,291822,23.73670000000004,92.71460000000008
Dewas,289438,22.96667000000008,76.06667000000004
Ichalkaranji,287570,16.693110000000047,74.45927000000006
Karnal,286974,29.690090000000055,76.98839000000004
Bathinda,285813,30.20712000000003,74.94140000000004
Jalna,285349,19.833330000000046,75.88333000000006
Eluru[22],283648,16.700000000000045,81.10000000000008
Barasat,283443,22.72118000000006,88.48157000000003
Kirari Suleman Nagar,282598,28.694510000000037,77.04456000000005
Purnia[23],280547,25.776850000000024,87.47426000000007
Satna,280248,24.576020000000028,80.80120000000005
Mau,279060,25.938540000000046,83.56515000000007
Sonipat,277053,28.99523000000005,77.02220000000005
Farrukhabad,275750,27.390480000000025,79.58006000000006
Durg,268679,21.199140000000057,81.28973000000008
Imphal,264986,24.807560000000024,93.92864000000009
Ratlam,264810,23.33033000000006,75.04032000000007
Hapur,262801,28.730410000000063,77.78141000000005
Arrah,261099,25.55821000000003,84.67780000000005
Anantapur,261004,14.683650000000057,77.58146000000005
Karimnagar,260899,18.437170000000037,79.13123000000007
Etawah,256838,26.77780000000007,79.02159000000006
Ambarnath,254003,19.195740000000058,73.19404000000003
North Dumdum,253625,22.685200000000066,88.42188000000004
Bharatpur,252109,27.210870000000057,77.48154000000005
Begusarai,251136,25.424420000000055,86.13367000000005
New Delhi,249998,28.63095000000004,77.21721000000008
Gandhidham,248705,23.08758000000006,70.14500000000004
Baranagar,248466,22.642980000000023,88.37775000000005
Tiruvottiyur,248059,13.15778000000006,80.30417000000006
Pondicherry,241773,11.92993000000007,79.82470000000006
Sikar,237579,27.612060000000042,75.13996000000003
Thoothukudi,237374,8.837500000000034,77.96300000000008
Rewa,235422,24.52594000000005,81.30262000000005
Mirzapur,233691,25.13432000000006,82.56707000000006
Raichur,232456,16.200000000000045,77.36667000000006
Pali,229956,25.772760000000062,73.32335000000006
Ramagundam[24],229644,18.756570000000067,79.48427000000004
Silchar,229136,24.812770000000057,92.79759000000007
Haridwar,228832,29.947910000000036,78.16025000000008
Vijayanagaram,228025,18.118400000000065,83.41798000000006
Tenali,225982,16.238910000000033,80.64422000000008
Nagercoil,224849,8.193890000000067,77.43139000000008
Sri Ganganagar,224773,29.92008000000004,73.87496000000004
Karawal Nagar,224666,28.727500000000077,77.27010000000007
Mango,223805,24.23837000000003,85.77871000000005
Thanjavur,222943,10.768570000000068,79.12898000000007
Bulandshahr,222519,28.40718000000004,77.84908000000007
Uluberia,222240,22.468140000000062,88.09343000000007
Katni,221883,23.751292053000043,80.40825143600006
Sambhal,220813,28.584380000000067,78.57182000000006
Singrauli,220257,24.194680000000062,82.66560000000004
Nadiad,218095,22.700000000000045,72.86667000000006
Secunderabad,217910,17.442000000000064,78.50192000000004
Naihati,217900,22.895760000000053,88.42876000000007
Yamunanagar,216677,30.129130000000032,77.28049000000004
Bidhannagar,215514,26.495210000000043,88.23904000000005
Pallavaram,215417,12.976110000000062,80.18361000000004
Bidar,214373,17.900000000000034,77.55000000000007
Munger,213303,25.365560000000073,86.48767000000004
Panchkula,211355,30.704570000000047,76.86396000000008
Burhanpur,210886,21.300000000000068,76.23333000000008
Raurkela Industrial Township,210317,22.22234000000003,84.86267000000004
Kharagpur,207604,22.328100000000063,87.25169000000005
Dindigul,207327,10.362050000000067,77.96951000000007
Gandhinagar,206167,23.240820000000042,72.63733000000008
Hospet,206167,15.268830000000037,76.39092000000005
Nangloi Jat,205596,28.67865000000006,77.06769000000008
Malda,205521,25.010940000000062,88.14053000000007
Ongole,204746,15.505990000000054,80.04994000000005
Deoghar,203123,24.489070000000027,86.69949000000008
Chapra,202352,25.781940000000077,84.74300000000005
Haldia,200827,22.062620000000038,88.08316000000008
Khandwa,200738,21.82122000000004,76.35638000000006
Nandyal,200516,15.470330000000047,78.47094000000004
Morena,200482,26.49052000000006,77.98572000000007
Amroha,198471,28.876960000000054,78.46851000000004
Anand,198282,22.566670000000045,72.93333000000007
Bhind,197585,26.567070000000058,78.78545000000008
Bhalswa Jahangir Pur,197148,28.74508000000003,77.15873000000005
Madhyamgram,196127,22.670970000000068,88.44321000000008
Bhiwani,196057,28.791940000000068,76.14108000000004
Berhampore,195223,24.100420000000042,88.24071000000004
Ambala,195153,30.362840000000062,76.79516000000007
Morbi,194947,22.807770000000062,70.82356000000004
Fatehpur,193193,27.173260000000028,81.21653000000003
Raebareli,191316,26.220930000000067,81.25565000000006
"Khora, Ghaziabad",190400,28.662490000000048,77.43777000000006
Chittoor[25],189332,13.205880000000036,79.08805000000007
Bhusawal,187421,21.04854000000006,75.78869000000003
Orai,187137,25.986650000000054,79.45085000000006
Bahraich,186223,27.576820000000055,81.60251000000005
Phusro,186139,23.765100000000075,85.99122000000006
Vellore,185803,12.913560000000075,79.13251000000008
Mehsana,184991,23.60800000000006,72.37459000000007
Raiganj,183612,25.619520000000023,88.12647000000004
Sirsa,182534,29.539420000000064,75.03110000000004
Danapur,182429,25.621120000000076,85.04452000000003
Serampore,181842,22.744670000000042,88.34975000000009
Sultan Pur Majra,181554,28.69097000000005,77.05938000000003
Guna,180935,24.646430000000066,77.31090000000006
Jaunpur,180362,25.74508000000003,82.68237000000005
Panvel,180020,18.99821000000003,73.12315000000007
Shivpuri,179977,25.42348000000004,77.66067000000004
Surendranagar Dudhrej,177851,22.755130000000065,71.61994000000004
Unnao,177658,26.547060000000045,80.48781000000008
Chinsurah,177259,22.903530000000046,88.38261000000006
Alappuzha,174164,9.501300000000072,76.33232000000004
Kottayam,172878,9.59477000000004,76.53291000000007
Machilipatnam,169892,16.166670000000067,81.13333000000006
Shimla,169578,31.103210000000047,77.15847000000008
Adoni,166537,15.633330000000058,77.28333000000003
Udupi,165401,13.335010000000068,74.74936000000008
Katihar,164937,25.538520000000062,87.57044000000008
Proddatur,163600,14.733330000000024,78.55000000000007
Mahbubnagar,158000,16.749090000000024,77.99641000000008
Saharsa[26],155175,25.877230000000054,86.59285000000006
Dibrugarh,154296,27.48440000000005,94.92311000000007
Jorhat,153889,26.767480000000035,94.20675000000006
Hazaribagh,153599,23.998790000000042,85.36729000000008
Hindupur,151835,13.833290000000034,77.49390000000005
Nagaon,148496,26.34949000000006,92.68462000000005
Sasaram[27],147396,24.954600000000028,84.01767000000007
Hajipur[28],147126,25.690030000000036,85.20954000000006
Giridih,143529,24.187110000000075,86.30464000000006
Bhimavaram,142280,16.533330000000035,81.53333000000003
Kumbakonam,140056,10.95945000000006,79.37878000000006
Bongaigaon,139650,26.46936000000005,90.56083000000007
Dehri[27],137068,24.89444000000003,84.16841000000005
Madanapalle,135669,13.564450000000022,78.49937000000006
Siwan[29],134458,26.221520000000055,84.35879000000006
Bettiah[30],132896,26.80352000000005,84.52526000000006
Ramgarh,132441,24.563660000000027,87.25034000000005
Tinsukia,126389,27.48771000000005,95.35682000000008
Guntakal,126270,15.160420000000045,77.37922000000003
Srikakulam,125939,18.300000000000068,83.90000000000003
Motihari[31],125183,26.657380000000046,84.91922000000005
Dharmavaram,121874,14.413280000000043,77.72013000000004
Medininagar,120325,24.03899000000007,84.07681000000008
Gudivada,118167,16.450000000000045,80.98333000000008
Phagwara,117966,31.218500000000063,75.77166000000005
Hosur,116821,12.736470000000054,77.83264000000008
Narasaraopet,116250,16.236600000000067,80.05551000000008
Suryapet,115250,17.15244000000007,79.62124000000006
Miryalaguda,109891,16.86095000000006,79.55280000000005
Tadipatri,108171,14.910750000000064,78.00298000000004
Karaikudi,106714,10.074160000000063,78.77369000000004
Kishanganj[32],105782,26.10265000000004,87.94312000000008
Jamalpur[33],105221,25.312580000000025,86.48888000000005
Ballia,104271,25.75827000000004,84.14792000000006
Kavali,104000,14.91288000000003,79.99058000000008
Tadepalligudem,103906,16.81400000000002,81.52708000000007
Amaravati,103000,16.583330000000046,80.36667000000006
Buxar[34],102591,25.572250000000054,83.97208000000006
Tezpur,102505,26.620870000000025,92.79397000000006
Jehanabad[35],102456,25.213430000000074,84.98535000000004
Aurangabad[36],101520,24.75297000000006,84.37399000000005
Gangtok,100286,27.33152000000007,88.61396000000008
